ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCertificado	vercertificado	1591037009059	 	3.3.1
REQUEST	8		IniciadoOwner	1591037034947	1591037035250	OK	 
REQUEST	233		IniciarSesion	1591037035247	1591037035250	OK	 
REQUEST	8		IniciadoOwner Redirect 1	1591037035251	1591037035253	OK	 
USER	VerCertificado	325	START	1591037035311	1591037035311
REQUEST	325		Home	1591037035312	1591037035316	OK	 
REQUEST	234		IniciarSesion	1591037035322	1591037035326	OK	 
REQUEST	9		IniciadoOwner	1591037035038	1591037035341	OK	 
REQUEST	9		IniciadoOwner Redirect 1	1591037035342	1591037035345	OK	 
USER	VerCertificado	326	START	1591037035381	1591037035381
REQUEST	326		Home	1591037035382	1591037035385	OK	 
REQUEST	10		IniciadoOwner	1591037035107	1591037035396	OK	 
REQUEST	10		IniciadoOwner Redirect 1	1591037035396	1591037035399	OK	 
REQUEST	235		IniciarSesion	1591037035397	1591037035400	OK	 
USER	VerCertificado	327	START	1591037035461	1591037035461
REQUEST	11		IniciadoOwner	1591037035177	1591037035462	OK	 
REQUEST	327		Home	1591037035461	1591037035466	OK	 
REQUEST	11		IniciadoOwner Redirect 1	1591037035462	1591037035466	OK	 
REQUEST	236		IniciarSesion	1591037035477	1591037035479	OK	 
USER	VerCertificado	328	START	1591037035531	1591037035531
REQUEST	12		IniciadoOwner	1591037035257	1591037035534	OK	 
REQUEST	328		Home	1591037035531	1591037035535	OK	 
REQUEST	12		IniciadoOwner Redirect 1	1591037035535	1591037035538	OK	 
REQUEST	237		IniciarSesion	1591037035557	1591037035560	OK	 
USER	VerCertificado	329	START	1591037035612	1591037035612
REQUEST	329		Home	1591037035612	1591037035616	OK	 
REQUEST	13		IniciadoOwner	1591037035338	1591037035620	OK	 
REQUEST	13		IniciadoOwner Redirect 1	1591037035621	1591037035623	OK	 
REQUEST	238		IniciarSesion	1591037035627	1591037035630	OK	 
USER	VerCertificado	330	START	1591037035692	1591037035692
REQUEST	14		IniciadoOwner	1591037035407	1591037035693	OK	 
REQUEST	14		IniciadoOwner Redirect 1	1591037035694	1591037035697	OK	 
REQUEST	330		Home	1591037035693	1591037035697	OK	 
REQUEST	239		IniciarSesion	1591037035708	1591037035710	OK	 
USER	VerCertificado	331	START	1591037035762	1591037035762
REQUEST	331		Home	1591037035763	1591037035767	OK	 
REQUEST	15		IniciadoOwner	1591037035487	1591037035779	OK	 
REQUEST	240		IniciarSesion	1591037035777	1591037035781	OK	 
REQUEST	15		IniciadoOwner Redirect 1	1591037035780	1591037035783	OK	 
USER	VerCertificado	332	START	1591037035836	1591037035836
REQUEST	332		Home	1591037035837	1591037035841	OK	 
REQUEST	241		IniciarSesion	1591037035858	1591037035862	OK	 
REQUEST	16		IniciadoOwner	1591037035568	1591037035867	OK	 
REQUEST	16		IniciadoOwner Redirect 1	1591037035867	1591037035871	OK	 
USER	VerCertificado	333	START	1591037035917	1591037035917
REQUEST	333		Home	1591037035917	1591037035920	OK	 
REQUEST	17		IniciadoOwner	1591037035649	1591037035942	OK	 
REQUEST	242		IniciarSesion	1591037035939	1591037035942	OK	 
REQUEST	17		IniciadoOwner Redirect 1	1591037035943	1591037035946	OK	 
USER	VerCertificado	334	START	1591037035987	1591037035987
REQUEST	334		Home	1591037035987	1591037035990	OK	 
REQUEST	18		IniciadoOwner	1591037035730	1591037036017	OK	 
REQUEST	18		IniciadoOwner Redirect 1	1591037036017	1591037036020	OK	 
REQUEST	243		IniciarSesion	1591037036020	1591037036023	OK	 
USER	VerCertificado	335	START	1591037036067	1591037036067
REQUEST	335		Home	1591037036068	1591037036071	OK	 
REQUEST	19		IniciadoOwner	1591037035799	1591037036096	OK	 
REQUEST	19		IniciadoOwner Redirect 1	1591037036096	1591037036098	OK	 
REQUEST	244		IniciarSesion	1591037036100	1591037036103	OK	 
USER	VerCertificado	336	START	1591037036147	1591037036147
REQUEST	336		Home	1591037036147	1591037036151	OK	 
REQUEST	245		IniciarSesion	1591037036169	1591037036173	OK	 
REQUEST	20		IniciadoOwner	1591037035880	1591037036178	OK	 
REQUEST	20		IniciadoOwner Redirect 1	1591037036179	1591037036182	OK	 
USER	VerCertificado	337	START	1591037036228	1591037036228
REQUEST	337		Home	1591037036228	1591037036232	OK	 
REQUEST	21		IniciadoOwner	1591037035950	1591037036242	OK	 
REQUEST	21		IniciadoOwner Redirect 1	1591037036242	1591037036244	OK	 
REQUEST	246		IniciarSesion	1591037036250	1591037036253	OK	 
USER	VerCertificado	338	START	1591037036298	1591037036298
REQUEST	338		Home	1591037036298	1591037036302	OK	 
REQUEST	22		IniciadoOwner	1591037036020	1591037036328	OK	 
REQUEST	22		IniciadoOwner Redirect 1	1591037036328	1591037036331	OK	 
REQUEST	247		IniciarSesion	1591037036331	1591037036335	OK	 
USER	VerCertificado	339	START	1591037036379	1591037036379
REQUEST	339		Home	1591037036379	1591037036383	OK	 
REQUEST	248		IniciarSesion	1591037036412	1591037036415	OK	 
REQUEST	23		IniciadoOwner	1591037036123	1591037036428	OK	 
REQUEST	23		IniciadoOwner Redirect 1	1591037036428	1591037036431	OK	 
USER	VerCertificado	340	START	1591037036459	1591037036459
REQUEST	340		Home	1591037036460	1591037036463	OK	 
REQUEST	24		IniciadoOwner	1591037036180	1591037036469	OK	 
REQUEST	24		IniciadoOwner Redirect 1	1591037036469	1591037036472	OK	 
REQUEST	249		IniciarSesion	1591037036481	1591037036485	OK	 
USER	VerCertificado	341	START	1591037036529	1591037036529
REQUEST	341		Home	1591037036530	1591037036533	OK	 
REQUEST	25		IniciadoOwner	1591037036261	1591037036551	OK	 
REQUEST	25		IniciadoOwner Redirect 1	1591037036551	1591037036554	OK	 
REQUEST	250		IniciarSesion	1591037036562	1591037036566	OK	 
USER	VerCertificado	342	START	1591037036610	1591037036610
REQUEST	342		Home	1591037036610	1591037036613	OK	 
REQUEST	251		IniciarSesion	1591037036632	1591037036636	OK	 
REQUEST	26		IniciadoOwner	1591037036331	1591037036643	OK	 
REQUEST	26		IniciadoOwner Redirect 1	1591037036643	1591037036646	OK	 
USER	VerCertificado	343	START	1591037036691	1591037036691
REQUEST	343		Home	1591037036691	1591037036694	OK	 
REQUEST	252		IniciarSesion	1591037036707	1591037036709	OK	 
REQUEST	27		IniciadoOwner	1591037036423	1591037036732	OK	 
REQUEST	27		IniciadoOwner Redirect 1	1591037036732	1591037036735	OK	 
USER	VerCertificado	344	START	1591037036771	1591037036771
REQUEST	344		Home	1591037036772	1591037036776	OK	 
REQUEST	253		IniciarSesion	1591037036788	1591037036791	OK	 
REQUEST	28		IniciadoOwner	1591037036493	1591037036798	OK	 
REQUEST	28		IniciadoOwner Redirect 1	1591037036799	1591037036802	OK	 
USER	VerCertificado	345	START	1591037036842	1591037036842
REQUEST	345		Home	1591037036843	1591037036847	OK	 
REQUEST	29		IniciadoOwner	1591037036567	1591037036855	OK	 
REQUEST	29		IniciadoOwner Redirect 1	1591037036855	1591037036858	OK	 
REQUEST	254		IniciarSesion	1591037036857	1591037036861	OK	 
USER	VerCertificado	346	START	1591037036917	1591037036917
REQUEST	346		Home	1591037036917	1591037036920	OK	 
REQUEST	30		IniciadoOwner	1591037036637	1591037036948	OK	 
REQUEST	30		IniciadoOwner Redirect 1	1591037036949	1591037036953	OK	 
REQUEST	255		IniciarSesion	1591037036949	1591037036953	OK	 
USER	VerCertificado	347	START	1591037036997	1591037036997
REQUEST	347		Home	1591037036997	1591037037003	OK	 
REQUEST	256		IniciarSesion	1591037037019	1591037037022	OK	 
REQUEST	31		IniciadoOwner	1591037036717	1591037037025	OK	 
REQUEST	31		IniciadoOwner Redirect 1	1591037037025	1591037037028	OK	 
USER	VerCertificado	348	START	1591037037067	1591037037067
REQUEST	348		Home	1591037037067	1591037037071	OK	 
REQUEST	32		IniciadoOwner	1591037036799	1591037037090	OK	 
REQUEST	32		IniciadoOwner Redirect 1	1591037037090	1591037037092	OK	 
REQUEST	257		IniciarSesion	1591037037100	1591037037104	OK	 
USER	VerCertificado	349	START	1591037037147	1591037037147
REQUEST	349		Home	1591037037148	1591037037152	OK	 
REQUEST	33		IniciadoOwner	1591037036868	1591037037170	OK	 
REQUEST	33		IniciadoOwner Redirect 1	1591037037171	1591037037173	OK	 
REQUEST	258		IniciarSesion	1591037037170	1591037037173	OK	 
USER	VerCertificado	350	START	1591037037228	1591037037228
REQUEST	350		Home	1591037037229	1591037037232	OK	 
REQUEST	34		IniciadoOwner	1591037036949	1591037037251	OK	 
REQUEST	259		IniciarSesion	1591037037250	1591037037254	OK	 
REQUEST	34		IniciadoOwner Redirect 1	1591037037251	1591037037254	OK	 
USER	VerCertificado	351	START	1591037037298	1591037037298
REQUEST	351		Home	1591037037298	1591037037302	OK	 
REQUEST	35		IniciadoOwner	1591037037030	1591037037318	OK	 
REQUEST	35		IniciadoOwner Redirect 1	1591037037318	1591037037320	OK	 
REQUEST	260		IniciarSesion	1591037037331	1591037037335	OK	 
USER	VerCertificado	352	START	1591037037379	1591037037379
REQUEST	352		Home	1591037037379	1591037037383	OK	 
REQUEST	261		IniciarSesion	1591037037401	1591037037404	OK	 
REQUEST	36		IniciadoOwner	1591037037100	1591037037409	OK	 
REQUEST	36		IniciadoOwner Redirect 1	1591037037409	1591037037412	OK	 
USER	VerCertificado	353	START	1591037037460	1591037037460
REQUEST	262		IniciarSesion	1591037037460	1591037037463	OK	 
REQUEST	353		Home	1591037037460	1591037037464	OK	 
REQUEST	37		IniciadoOwner	1591037037181	1591037037479	OK	 
REQUEST	37		IniciadoOwner Redirect 1	1591037037479	1591037037483	OK	 
USER	VerCertificado	354	START	1591037037529	1591037037529
REQUEST	354		Home	1591037037530	1591037037534	OK	 
REQUEST	263		IniciarSesion	1591037037541	1591037037544	OK	 
REQUEST	38		IniciadoOwner	1591037037261	1591037037572	OK	 
REQUEST	38		IniciadoOwner Redirect 1	1591037037572	1591037037575	OK	 
USER	VerCertificado	355	START	1591037037610	1591037037610
REQUEST	355		Home	1591037037611	1591037037615	OK	 
REQUEST	264		IniciarSesion	1591037037621	1591037037625	OK	 
REQUEST	39		IniciadoOwner	1591037037331	1591037037636	OK	 
REQUEST	39		IniciadoOwner Redirect 1	1591037037637	1591037037640	OK	 
USER	VerCertificado	356	START	1591037037691	1591037037691
REQUEST	356		Home	1591037037691	1591037037695	OK	 
REQUEST	265		IniciarSesion	1591037037702	1591037037706	OK	 
REQUEST	40		IniciadoOwner	1591037037412	1591037037713	OK	 
REQUEST	40		IniciadoOwner Redirect 1	1591037037713	1591037037715	OK	 
USER	VerCertificado	357	START	1591037037772	1591037037772
REQUEST	357		Home	1591037037772	1591037037776	OK	 
REQUEST	266		IniciarSesion	1591037037772	1591037037776	OK	 
REQUEST	41		IniciadoOwner	1591037037482	1591037037783	OK	 
REQUEST	41		IniciadoOwner Redirect 1	1591037037783	1591037037786	OK	 
USER	VerCertificado	358	START	1591037037842	1591037037842
REQUEST	358		Home	1591037037842	1591037037847	OK	 
REQUEST	267		IniciarSesion	1591037037847	1591037037851	OK	 
REQUEST	42		IniciadoOwner	1591037037563	1591037037876	OK	 
REQUEST	42		IniciadoOwner Redirect 1	1591037037876	1591037037880	OK	 
USER	VerCertificado	359	START	1591037037922	1591037037922
REQUEST	359		Home	1591037037923	1591037037927	OK	 
REQUEST	268		IniciarSesion	1591037037927	1591037037930	OK	 
REQUEST	43		IniciadoOwner	1591037037637	1591037037942	OK	 
REQUEST	43		IniciadoOwner Redirect 1	1591037037943	1591037037945	OK	 
USER	VerCertificado	360	START	1591037037996	1591037037996
REQUEST	269		IniciarSesion	1591037037997	1591037038001	OK	 
REQUEST	360		Home	1591037037997	1591037038003	OK	 
REQUEST	44		IniciadoOwner	1591037037717	1591037038020	OK	 
REQUEST	44		IniciadoOwner Redirect 1	1591037038021	1591037038024	OK	 
USER	VerCertificado	361	START	1591037038066	1591037038066
REQUEST	361		Home	1591037038067	1591037038071	OK	 
REQUEST	270		IniciarSesion	1591037038077	1591037038081	OK	 
REQUEST	45		IniciadoOwner	1591037037787	1591037038099	OK	 
REQUEST	45		IniciadoOwner Redirect 1	1591037038099	1591037038102	OK	 
USER	VerCertificado	362	START	1591037038147	1591037038147
REQUEST	362		Home	1591037038147	1591037038151	OK	 
REQUEST	271		IniciarSesion	1591037038147	1591037038151	OK	 
REQUEST	46		IniciadoOwner	1591037037868	1591037038176	OK	 
REQUEST	46		IniciadoOwner Redirect 1	1591037038176	1591037038179	OK	 
USER	VerCertificado	363	START	1591037038228	1591037038228
REQUEST	363		Home	1591037038228	1591037038231	OK	 
REQUEST	272		IniciarSesion	1591037038239	1591037038242	OK	 
REQUEST	47		IniciadoOwner	1591037037949	1591037038253	OK	 
REQUEST	47		IniciadoOwner Redirect 1	1591037038253	1591037038257	OK	 
USER	VerCertificado	364	START	1591037038297	1591037038297
REQUEST	364		Home	1591037038298	1591037038302	OK	 
REQUEST	273		IniciarSesion	1591037038308	1591037038312	OK	 
REQUEST	48		IniciadoOwner	1591037038018	1591037038325	OK	 
REQUEST	48		IniciadoOwner Redirect 1	1591037038326	1591037038329	OK	 
USER	VerCertificado	365	START	1591037038378	1591037038378
REQUEST	365		Home	1591037038379	1591037038383	OK	 
REQUEST	274		IniciarSesion	1591037038389	1591037038392	OK	 
REQUEST	49		IniciadoOwner	1591037038099	1591037038411	OK	 
REQUEST	49		IniciadoOwner Redirect 1	1591037038411	1591037038414	OK	 
USER	VerCertificado	366	START	1591037038459	1591037038459
REQUEST	366		Home	1591037038459	1591037038463	OK	 
REQUEST	275		IniciarSesion	1591037038470	1591037038473	OK	 
REQUEST	50		IniciadoOwner	1591037038180	1591037038487	OK	 
REQUEST	50		IniciadoOwner Redirect 1	1591037038487	1591037038489	OK	 
USER	VerCertificado	367	START	1591037038540	1591037038540
REQUEST	367		Home	1591037038540	1591037038543	OK	 
REQUEST	276		IniciarSesion	1591037038562	1591037038567	OK	 
REQUEST	51		IniciadoOwner	1591037038272	1591037038578	OK	 
REQUEST	51		IniciadoOwner Redirect 1	1591037038578	1591037038581	OK	 
USER	VerCertificado	368	START	1591037038610	1591037038610
REQUEST	368		Home	1591037038610	1591037038614	OK	 
REQUEST	52		IniciadoOwner	1591037038320	1591037038624	OK	 
REQUEST	52		IniciadoOwner Redirect 1	1591037038625	1591037038628	OK	 
REQUEST	277		IniciarSesion	1591037038632	1591037038636	OK	 
USER	VerCertificado	369	START	1591037038691	1591037038691
REQUEST	369		Home	1591037038692	1591037038696	OK	 
REQUEST	278		IniciarSesion	1591037038702	1591037038706	OK	 
REQUEST	53		IniciadoOwner	1591037038411	1591037038712	OK	 
REQUEST	53		IniciadoOwner Redirect 1	1591037038712	1591037038715	OK	 
USER	VerCertificado	370	START	1591037038772	1591037038772
REQUEST	370		Home	1591037038772	1591037038776	OK	 
REQUEST	279		IniciarSesion	1591037038777	1591037038780	OK	 
REQUEST	54		IniciadoOwner	1591037038492	1591037038809	OK	 
REQUEST	54		IniciadoOwner Redirect 1	1591037038810	1591037038813	OK	 
USER	VerCertificado	371	START	1591037038842	1591037038842
REQUEST	371		Home	1591037038842	1591037038846	OK	 
REQUEST	280		IniciarSesion	1591037038857	1591037038860	OK	 
REQUEST	55		IniciadoOwner	1591037038562	1591037038874	OK	 
REQUEST	55		IniciadoOwner Redirect 1	1591037038874	1591037038877	OK	 
USER	VerCertificado	372	START	1591037038916	1591037038916
REQUEST	56		IniciadoOwner	1591037038632	1591037038918	OK	 
REQUEST	372		Home	1591037038917	1591037038920	OK	 
REQUEST	56		IniciadoOwner Redirect 1	1591037038919	1591037038922	OK	 
REQUEST	281		IniciarSesion	1591037038938	1591037038942	OK	 
USER	VerCertificado	373	START	1591037038997	1591037038997
REQUEST	373		Home	1591037038997	1591037039000	OK	 
REQUEST	57		IniciadoOwner	1591037038707	1591037039008	OK	 
REQUEST	57		IniciadoOwner Redirect 1	1591037039008	1591037039011	OK	 
REQUEST	282		IniciarSesion	1591037039019	1591037039021	OK	 
USER	VerCertificado	374	START	1591037039067	1591037039067
REQUEST	374		Home	1591037039067	1591037039070	OK	 
REQUEST	58		IniciadoOwner	1591037038798	1591037039097	OK	 
REQUEST	58		IniciadoOwner Redirect 1	1591037039097	1591037039099	OK	 
REQUEST	283		IniciarSesion	1591037039099	1591037039102	OK	 
USER	VerCertificado	375	START	1591037039147	1591037039147
REQUEST	375		Home	1591037039147	1591037039151	OK	 
REQUEST	59		IniciadoOwner	1591037038868	1591037039166	OK	 
REQUEST	59		IniciadoOwner Redirect 1	1591037039166	1591037039169	OK	 
REQUEST	284		IniciarSesion	1591037039169	1591037039173	OK	 
USER	VerCertificado	376	START	1591037039228	1591037039228
REQUEST	376		Home	1591037039228	1591037039231	OK	 
REQUEST	60		IniciadoOwner	1591037038949	1591037039244	OK	 
REQUEST	60		IniciadoOwner Redirect 1	1591037039245	1591037039248	OK	 
REQUEST	285		IniciarSesion	1591037039250	1591037039253	OK	 
USER	VerCertificado	377	START	1591037039309	1591037039309
REQUEST	377		Home	1591037039309	1591037039313	OK	 
REQUEST	61		IniciadoOwner	1591037039030	1591037039317	OK	 
REQUEST	61		IniciadoOwner Redirect 1	1591037039317	1591037039320	OK	 
REQUEST	286		IniciarSesion	1591037039331	1591037039334	OK	 
REQUEST	62		IniciadoOwner	1591037039088	1591037039378	OK	 
USER	VerCertificado	378	START	1591037039378	1591037039378
REQUEST	62		IniciadoOwner Redirect 1	1591037039378	1591037039381	OK	 
REQUEST	378		Home	1591037039379	1591037039382	OK	 
REQUEST	287		IniciarSesion	1591037039401	1591037039404	OK	 
USER	VerCertificado	379	START	1591037039459	1591037039459
REQUEST	379		Home	1591037039460	1591037039464	OK	 
REQUEST	63		IniciadoOwner	1591037039169	1591037039466	OK	 
REQUEST	63		IniciadoOwner Redirect 1	1591037039466	1591037039469	OK	 
REQUEST	288		IniciarSesion	1591037039470	1591037039474	OK	 
USER	VerCertificado	380	START	1591037039529	1591037039529
REQUEST	380		Home	1591037039529	1591037039533	OK	 
REQUEST	64		IniciadoOwner	1591037039261	1591037039551	OK	 
REQUEST	64		IniciadoOwner Redirect 1	1591037039551	1591037039554	OK	 
REQUEST	289		IniciarSesion	1591037039562	1591037039567	OK	 
USER	VerCertificado	381	START	1591037039610	1591037039610
REQUEST	381		Home	1591037039610	1591037039614	OK	 
REQUEST	65		IniciadoOwner	1591037039331	1591037039623	OK	 
REQUEST	65		IniciadoOwner Redirect 1	1591037039623	1591037039626	OK	 
REQUEST	290		IniciarSesion	1591037039632	1591037039635	OK	 
USER	VerCertificado	382	START	1591037039691	1591037039691
REQUEST	382		Home	1591037039691	1591037039695	OK	 
REQUEST	66		IniciadoOwner	1591037039412	1591037039708	OK	 
REQUEST	291		IniciarSesion	1591037039707	1591037039711	OK	 
REQUEST	66		IniciadoOwner Redirect 1	1591037039708	1591037039711	OK	 
USER	VerCertificado	383	START	1591037039771	1591037039771
REQUEST	67		IniciadoOwner	1591037039492	1591037039774	OK	 
REQUEST	383		Home	1591037039772	1591037039776	OK	 
REQUEST	67		IniciadoOwner Redirect 1	1591037039775	1591037039778	OK	 
REQUEST	292		IniciarSesion	1591037039787	1591037039791	OK	 
USER	VerCertificado	384	START	1591037039841	1591037039841
REQUEST	384		Home	1591037039842	1591037039846	OK	 
REQUEST	293		IniciarSesion	1591037039857	1591037039860	OK	 
REQUEST	68		IniciadoOwner	1591037039562	1591037039865	OK	 
REQUEST	68		IniciadoOwner Redirect 1	1591037039865	1591037039868	OK	 
USER	VerCertificado	385	START	1591037039922	1591037039922
REQUEST	385		Home	1591037039922	1591037039926	OK	 
REQUEST	69		IniciadoOwner	1591037039637	1591037039936	OK	 
REQUEST	69		IniciadoOwner Redirect 1	1591037039936	1591037039939	OK	 
REQUEST	294		IniciarSesion	1591037039937	1591037039940	OK	 
USER	VerCertificado	386	START	1591037039996	1591037039996
REQUEST	386		Home	1591037039997	1591037040001	OK	 
REQUEST	295		IniciarSesion	1591037040007	1591037040011	OK	 
REQUEST	70		IniciadoOwner	1591037039717	1591037040023	OK	 
REQUEST	70		IniciadoOwner Redirect 1	1591037040023	1591037040026	OK	 
USER	VerCertificado	387	START	1591037040066	1591037040066
REQUEST	387		Home	1591037040067	1591037040070	OK	 
REQUEST	71		IniciadoOwner	1591037039787	1591037040092	OK	 
REQUEST	71		IniciadoOwner Redirect 1	1591037040092	1591037040095	OK	 
REQUEST	296		IniciarSesion	1591037040099	1591037040102	OK	 
USER	VerCertificado	388	START	1591037040147	1591037040147
REQUEST	388		Home	1591037040147	1591037040150	OK	 
REQUEST	72		IniciadoOwner	1591037039867	1591037040162	OK	 
REQUEST	72		IniciadoOwner Redirect 1	1591037040163	1591037040165	OK	 
REQUEST	297		IniciarSesion	1591037040169	1591037040171	OK	 
USER	VerCertificado	389	START	1591037040227	1591037040227
REQUEST	389		Home	1591037040227	1591037040231	OK	 
REQUEST	73		IniciadoOwner	1591037039948	1591037040242	OK	 
REQUEST	73		IniciadoOwner Redirect 1	1591037040242	1591037040245	OK	 
REQUEST	298		IniciarSesion	1591037040249	1591037040253	OK	 
USER	VerCertificado	390	START	1591037040297	1591037040297
REQUEST	390		Home	1591037040297	1591037040301	OK	 
REQUEST	74		IniciadoOwner	1591037040018	1591037040324	OK	 
REQUEST	74		IniciadoOwner Redirect 1	1591037040325	1591037040327	OK	 
REQUEST	299		IniciarSesion	1591037040330	1591037040334	OK	 
USER	VerCertificado	391	START	1591037040378	1591037040378
REQUEST	391		Home	1591037040378	1591037040382	OK	 
REQUEST	75		IniciadoOwner	1591037040099	1591037040403	OK	 
REQUEST	300		IniciarSesion	1591037040400	1591037040403	OK	 
REQUEST	75		IniciadoOwner Redirect 1	1591037040404	1591037040407	OK	 
USER	VerCertificado	392	START	1591037040459	1591037040459
REQUEST	392		Home	1591037040459	1591037040463	OK	 
REQUEST	76		IniciadoOwner	1591037040180	1591037040465	OK	 
REQUEST	76		IniciadoOwner Redirect 1	1591037040465	1591037040468	OK	 
REQUEST	301		IniciarSesion	1591037040481	1591037040483	OK	 
USER	VerCertificado	393	START	1591037040539	1591037040539
REQUEST	393		Home	1591037040540	1591037040543	OK	 
REQUEST	302		IniciarSesion	1591037040550	1591037040554	OK	 
REQUEST	77		IniciadoOwner	1591037040260	1591037040568	OK	 
REQUEST	77		IniciadoOwner Redirect 1	1591037040568	1591037040571	OK	 
USER	VerCertificado	394	START	1591037040609	1591037040609
REQUEST	394		Home	1591037040609	1591037040613	OK	 
REQUEST	78		IniciadoOwner	1591037040330	1591037040628	OK	 
REQUEST	78		IniciadoOwner Redirect 1	1591037040628	1591037040631	OK	 
REQUEST	303		IniciarSesion	1591037040631	1591037040635	OK	 
USER	VerCertificado	395	START	1591037040690	1591037040690
REQUEST	395		Home	1591037040690	1591037040694	OK	 
REQUEST	304		IniciarSesion	1591037040712	1591037040716	OK	 
REQUEST	79		IniciadoOwner	1591037040411	1591037040723	OK	 
REQUEST	79		IniciadoOwner Redirect 1	1591037040723	1591037040726	OK	 
USER	VerCertificado	396	START	1591037040771	1591037040771
REQUEST	396		Home	1591037040771	1591037040775	OK	 
REQUEST	305		IniciarSesion	1591037040782	1591037040785	OK	 
REQUEST	80		IniciadoOwner	1591037040492	1591037040787	OK	 
REQUEST	80		IniciadoOwner Redirect 1	1591037040787	1591037040790	OK	 
USER	VerCertificado	397	START	1591037040841	1591037040841
REQUEST	397		Home	1591037040841	1591037040845	OK	 
REQUEST	81		IniciadoOwner	1591037040551	1591037040850	OK	 
REQUEST	81		IniciadoOwner Redirect 1	1591037040850	1591037040854	OK	 
REQUEST	306		IniciarSesion	1591037040857	1591037040860	OK	 
USER	VerCertificado	398	START	1591037040921	1591037040921
REQUEST	398		Home	1591037040922	1591037040925	OK	 
REQUEST	82		IniciadoOwner	1591037040642	1591037040938	OK	 
REQUEST	307		IniciarSesion	1591037040937	1591037040940	OK	 
REQUEST	82		IniciadoOwner Redirect 1	1591037040938	1591037040941	OK	 
USER	VerCertificado	399	START	1591037041002	1591037041002
REQUEST	399		Home	1591037041002	1591037041006	OK	 
REQUEST	83		IniciadoOwner	1591037040717	1591037041012	OK	 
REQUEST	83		IniciadoOwner Redirect 1	1591037041012	1591037041015	OK	 
REQUEST	308		IniciarSesion	1591037041017	1591037041021	OK	 
USER	VerCertificado	400	START	1591037041071	1591037041071
REQUEST	400		Home	1591037041071	1591037041075	OK	 
REQUEST	84		IniciadoOwner	1591037040797	1591037041082	OK	 
REQUEST	84		IniciadoOwner Redirect 1	1591037041082	1591037041085	OK	 
REQUEST	309		IniciarSesion	1591037041097	1591037041100	OK	 
REQUEST	85		IniciadoOwner	1591037040857	1591037041145	OK	 
REQUEST	85		IniciadoOwner Redirect 1	1591037041145	1591037041147	OK	 
USER	VerCertificado	401	START	1591037041151	1591037041151
REQUEST	401		Home	1591037041151	1591037041154	OK	 
REQUEST	310		IniciarSesion	1591037041167	1591037041170	OK	 
USER	VerCertificado	402	START	1591037041232	1591037041232
REQUEST	86		IniciadoOwner	1591037040948	1591037041232	OK	 
REQUEST	402		Home	1591037041232	1591037041236	OK	 
REQUEST	86		IniciadoOwner Redirect 1	1591037041233	1591037041236	OK	 
REQUEST	311		IniciarSesion	1591037041247	1591037041250	OK	 
USER	VerCertificado	403	START	1591037041312	1591037041312
REQUEST	403		Home	1591037041313	1591037041316	OK	 
REQUEST	312		IniciarSesion	1591037041317	1591037041319	OK	 
REQUEST	87		IniciadoOwner	1591037041028	1591037041338	OK	 
REQUEST	87		IniciadoOwner Redirect 1	1591037041338	1591037041340	OK	 
USER	VerCertificado	404	START	1591037041382	1591037041382
REQUEST	404		Home	1591037041383	1591037041387	OK	 
REQUEST	313		IniciarSesion	1591037041397	1591037041401	OK	 
REQUEST	88		IniciadoOwner	1591037041097	1591037041409	OK	 
REQUEST	88		IniciadoOwner Redirect 1	1591037041410	1591037041413	OK	 
USER	VerCertificado	405	START	1591037041441	1591037041441
REQUEST	405		Home	1591037041441	1591037041445	OK	 
REQUEST	89		IniciadoOwner	1591037041167	1591037041468	OK	 
REQUEST	89		IniciadoOwner Redirect 1	1591037041469	1591037041471	OK	 
REQUEST	314		IniciarSesion	1591037041478	1591037041481	OK	 
USER	VerCertificado	406	START	1591037041522	1591037041522
REQUEST	406		Home	1591037041522	1591037041527	OK	 
REQUEST	90		IniciadoOwner	1591037041247	1591037041541	OK	 
REQUEST	90		IniciadoOwner Redirect 1	1591037041542	1591037041545	OK	 
REQUEST	315		IniciarSesion	1591037041559	1591037041562	OK	 
USER	VerCertificado	407	START	1591037041596	1591037041596
REQUEST	407		Home	1591037041597	1591037041600	OK	 
REQUEST	91		IniciadoOwner	1591037041327	1591037041627	OK	 
REQUEST	91		IniciadoOwner Redirect 1	1591037041627	1591037041630	OK	 
REQUEST	316		IniciarSesion	1591037041629	1591037041632	OK	 
USER	VerCertificado	408	START	1591037041676	1591037041676
REQUEST	408		Home	1591037041677	1591037041680	OK	 
REQUEST	92		IniciadoOwner	1591037041408	1591037041699	OK	 
REQUEST	92		IniciadoOwner Redirect 1	1591037041699	1591037041703	OK	 
REQUEST	317		IniciarSesion	1591037041709	1591037041712	OK	 
USER	VerCertificado	409	START	1591037041746	1591037041746
REQUEST	409		Home	1591037041747	1591037041750	OK	 
REQUEST	318		IniciarSesion	1591037041790	1591037041794	OK	 
REQUEST	93		IniciadoOwner	1591037041489	1591037041796	OK	 
REQUEST	93		IniciadoOwner Redirect 1	1591037041796	1591037041799	OK	 
USER	VerCertificado	410	START	1591037041827	1591037041827
REQUEST	410		Home	1591037041827	1591037041831	OK	 
